Country,DateofVotes,TitleinEnglish,Institutions,year
Sweden,13-Okt.-94,Accession to the European Union,Parliamentary plebiscite (consultative),1994
Sweden,14-Sep.-03,Introducing the Euro as national currency,Parliamentary plebiscite (consultative),2003
Switzerland,1-Feb.-70,Federal decree on domestic sugar production,Optional Legislative Referendum (Federal Decrees),1970
Switzerland,7-Juni-70,Citizen's initiative Reduction of number of foreigners,Initiative (Formulated Draft),1970
Switzerland,27-Sep.-70,Federal decree on supplementing the Federal Constitution by an article 27 on promotion of sport and gymnastics,Constitutional Referendum (Partialrevision),1970
Switzerland,15-Nov.-70,Federal decree on amendment to federal budget,Constitutional Referendum (Partialrevision),1970
Switzerland,7-Feb.-71,Federal decree on introduction of women's suffrage at the federal level,Constitutional Referendum (Partialrevision),1971
Switzerland,6-Juni-71,Federal decree on supplementing the Federal Constitution by an article 24 on protecting people and the natural environment from harmful or annoying impacts,Constitutional Referendum (Partialrevision),1971
Switzerland,5-März-72,Counter proposal to the citizen's initiative Promotion of housing construction,Constitutional Referendum (Counter-draft),1972
Switzerland,4-Juni-72,Federal decree on measures to stabilise the construction market,Mandatory Legislative Referendum (Federal decrees declared urg,1972
Switzerland,24-Sep.-72,Citizen's initiative for increased control of arms industry and prohibition of arms exports,Initiative (Formulated Draft),1972
Switzerland,3-Dez.-72,Counter proposal to the citizen's initiative For a real old age and sickness pension(amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance),Constitutional Referendum (Counter-draft),1972
Switzerland,4-März-73,Federal decree on amendment to the Federal Constitution on education,Constitutional Referendum (Partialrevision),1973
Switzerland,20-Mai-73,Federal decree on repeal of articles 51 and 52 of the Constitution concerning Jesuits and monasteries,Constitutional Referendum (Partialrevision),1973
Switzerland,2-Dez.-73,Federal decree on measures to monitor prices,Mandatory Legislative Referendum (Federal decrees declared urg,1973
Switzerland,20-Okt.-74,Citizen's initiative Reduction in number of foreigners,Initiative (Formulated Draft),1974
Switzerland,8-Dez.-74,Counter proposal to the citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity,Constitutional Referendum (Counter-draft),1974
Switzerland,2-März-75,Federal decree on article in the Constitution on the economy,Constitutional Referendum (Partialrevision),1975
Switzerland,8-Juni-75,Federal decree on protection of the currency (amendment of 28 June 1974),Mandatory Legislative Referendum (Federal decrees declared urg,1975
Switzerland,7-Dez.-75,Federal decree on amendment of the Federal Constitution (freedom of settlement and social welfare assistance),Constitutional Referendum (Partialrevision),1975
Switzerland,21-März-76,Citizen's initiative Reform of taxes (fairer taxes and abolition of tax privileges),Initiative (General Suggestion),1976
Switzerland,13-Juni-76,Federal decree on an agreement between Switzerland and the International Development Agency on a loan of 200 million francs,Optional Treaty Referendum (for an unlimited period or duratio,1976
Switzerland,26-Sep.-76,Federal decree on an article of the Federal Constitution concerning radio and television,Constitutional Referendum (Partialrevision),1976
Switzerland,5-Dez.-76,Federal decree on monetary and credit policy,Mandatory Legislative Referendum (Federal decrees declared urg,1976
Switzerland,13-März-77,Citizen's initiative Reduction of number of foreigners (No. 4),Initiative (Formulated Draft),1977
Switzerland,12-Juni-77,Federal decree on revision of VAT and direct federal taxation,Constitutional Referendum (Partialrevision),1977
Switzerland,25-Sep.-77,Citizen's initiative For effective protection of tenants,Initiative (Formulated Draft),1977
Switzerland,4-Dez.-77,Citizen's initiative Higher taxes on big incomes,Initiative (Formulated Draft),1977
Switzerland,26-Feb.-78,Citizen's initiative Enhancing parliamentary and popular participation in decision-making on matters of highway construction,Initiative (Formulated Draft),1978
Switzerland,28-Mai-78,Law on summer time,Optional Legislative Referendum (Federal Statutes),1978
Switzerland,24-Sep.-78,Federal decree on creation of the canton Jura (articles 1 and 80 of the Federal Constitution),Constitutional Referendum (Partialrevision),1978
Switzerland,3-Dez.-78,1977 decree on milk supply,Optional Legislative Referendum (Federal Decrees),1978
Switzerland,18-Feb.-79,Federal decree on lowering voting age to 18,Constitutional Referendum (Partialrevision),1979
Switzerland,20-Mai-79,Federal decree on revision of VAT and direct federal taxes,Constitutional Referendum (Partialrevision),1979
Switzerland,2-März-80,Citizen's initiative Complete separation of church and state,Initiative (Formulated Draft),1980
Switzerland,30-Nov.-80,Federal traffic law  amendment of 21 March 1980 (compulsory seatbelts and helmets),Optional Legislative Referendum (Federal Statutes),1980
Switzerland,5-Apr.-81,Citizen's initiative New  friendlier policy towards foreign residents,Initiative (Formulated Draft),1981
Switzerland,14-Juni-81,Counter proposal to the citizen's initiative Equal rights for men and women,Constitutional Referendum (Counter-draft),1981
Switzerland,29-Nov.-81,Federal decree on continuation of budget and improvement in federal finances,Constitutional Referendum (Partialrevision),1981
Switzerland,6-Juni-82,Law on foreigners,Optional Legislative Referendum (Federal Statutes),1982
Switzerland,28-Nov.-82,Counter proposal to the citizen's initiative Prevention of false pricing,Constitutional Referendum (Counter-draft),1982
Switzerland,27-Feb.-83,Federal decree on revision of fuel duty,Constitutional Referendum (Partialrevision),1983
Switzerland,4-Dez.-83,Federal decree on changes to nationality rules in the Federal Constitution,Constitutional Referendum (Partialrevision),1983
Switzerland,26-Feb.-84,Federal decree on raising a heavy goods vehicle tax,Constitutional Referendum (Partialrevision),1984
Switzerland,20-Mai-84,Citizen's initiative Against abuse of banking secrecy and banking power,Initiative (Formulated Draft),1984
Switzerland,23-Sep.-84,Citizen's initiative For a future without new nuclear power plants,Initiative (Formulated Draft),1984
Switzerland,2-Dez.-84,Citizen's initiative Effective protection of motherhood,Initiative (Formulated Draft),1984
Switzerland,10-März-85,Federal decree on ending federal public primary school subsidies,Constitutional Referendum (Partialrevision),1985
Switzerland,9-Juni-85,Citizen's initiative Right to life,Initiative (Formulated Draft),1985
Switzerland,22-Sep.-85,Counter proposal to the citizen's initiative Standardised beginning of school year in all cantons,Constitutional Referendum (Counter-draft),1985
Switzerland,1-Dez.-85,Citizen's initiative Abolition of vivisection,Initiative (Formulated Draft),1985
Switzerland,16-März-86,Federal decree on accession of Switzerland to the UN,Mandatory Treaty Referendum (Collective Security Organizations,1986
Switzerland,28-Sep.-86,Counter proposal to the citizen's initiative culture initiative,Constitutional Referendum (Counter-draft),1986
Switzerland,7-Dez.-86,Federal decree on the citizen's initiative Tenants protection(counter-proposal),Constitutional Referendum (Counter-draft),1986
Switzerland,5-Apr.-87,Asylum law  amendment of 20 June 1986,Optional Legislative Referendum (Federal Statutes),1987
Switzerland,6-Dez.-87,Federal decree on Rail 2000 project,Optional Legislative Referendum (Federal Decrees),1987
Switzerland,12-Juni-88,Federal decree on constitutional basis for a coordinated traffic policy,Constitutional Referendum (Partialrevision),1988
Switzerland,4-Dez.-88,Citizen's initiative Town and country  initiative against land speculation,Initiative (Formulated Draft),1988
Switzerland,4-Juni-89,Citizen's initiative for ecological  farming - against animal factories (small  farmers initiative),Initiative (Formulated Draft),1989
Switzerland,26-Nov.-89,Citizen's initiative for abolition of the  Swiss army and a comprehensive policy  for peace,Initiative (Formulated Draft),1989
Switzerland,1-Apr.-90,Citizen's initiative No more concrete  - restriction on new road building!,Initiative (Formulated Draft),1990
Switzerland,23-Sep.-90,Citizen's initiative Stop using nuclear  power,Initiative (Formulated Draft),1990
Switzerland,3-März-91,Federal decree on lowering the voting  age to 18,Constitutional Referendum (Partialrevision),1991
Switzerland,2-Juni-91,Federal decree on revision of federal  finances,Constitutional Referendum (Partialrevision),1991
